ID,OBJID,RA,DEC,NVOTE,P_EL,P_CW,P_ACW,P_EDGE,P_DK,P_MG,P_CS,P_EL_DEBIASED,P_CS_DEBIASED,SPIRAL,ELLIPTICAL,UNCERTAIN,SDSS,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,q_mode,cl,m_SDSS,flags,ObsDate,Q,zsp,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,angDist
5140,5.88018E+17,38:24.8,+47:56:51.8,60,0.467,0.033,0.033,0.417,0.05,0,0.483,0.151,0.779,0,0,1,J143824.85+475651.8,219.603557,47.947743,0.069,0.053,64,,3,,21294021048,2003.3242,3,0.07276,19.436,0.073,18.283,0.013,17.749,0.012,17.437,0.015,17.317,0.043,0.083744
5141,5.87742E+17,31:00.6,+29:40:18.5,59,0.017,0.847,0.034,0.017,0.017,0.068,0.898,0.017,0.898,1,0,0,J113100.56+294018.5,172.752335,29.671813,0.063,0.058,7,,3,,4.00101E+12,2004.9567,2,0.05258,17.459,0.026,15.872,0.003,15.162,0.003,14.795,0.003,14.538,0.007,0.027385
5142,5.87733E+17,27:27.3,+56:36:22.1,36,0.639,0,0,0.167,0.194,0,0.167,0.62,0.185,0,0,1,J102727.26+563622.0,156.863621,56.606133,0.041,0.04,25,,3,,10020000,2002.1201,2,0.09594,19.927,0.047,18.279,0.008,17.545,0.006,17.225,0.006,16.987,0.014,0.022689
5143,5.88017E+17,35:15.7,+35:29:30.6,37,0.189,0.027,0,0.703,0.081,0,0.73,0.041,0.866,1,0,0,J093515.67+352930.5,143.815292,35.491831,0.05,0.047,31,,3,,0000023A90020100,2003.0865,2,0.06037,19.158,0.042,18.092,0.009,17.599,0.008,17.248,0.01,17.069,0.024,0.008621
5144,5.8773E+17,24:36.5,-01:27:09.3,27,0.074,0,0,0.815,0.037,0.074,0.815,0.024,0.86,1,0,0,J152436.50-012709.3,231.15211,-1.452586,0.083,0.065,2,,3,,810000158,2001.3944,3,0.02729,19.852,0.117,18.493,0.013,17.773,0.011,17.423,0.012,17.083,0.039,0.054511
5145,5.88017E+17,56:41.7,+46:29:18.4,63,0.016,0.032,0.921,0.032,0,0,0.984,0.016,0.984,1,0,0,J105641.68+462918.5,164.173693,46.488477,0.068,0.065,102,,3,,1010000000,2003.1768,3,0.05404,17.641,0.026,16.13,0.004,15.437,0.003,15.079,0.003,14.776,0.007,0.134053
5146,5.87725E+17,14:31.3,+55:12:39.5,34,0.059,0,0,0.941,0,0,0.941,0.008,0.992,1,0,0,J171431.32+551239.4,258.630539,55.210948,0.04,0.04,45,,3,,0000003A90000100,2000.2585,2,0.08422,19.664,0.064,18.044,0.01,17.166,0.007,16.671,0.007,16.308,0.015,0.126191
5147,5.87726E+17,17:44.2,+04:08:59.4,30,0.967,0,0,0.033,0,0,0.033,0.967,0.033,0,1,0,J151744.20+040859.4,229.434179,4.149836,0.042,0.041,0,,3,,10000010,2000.357,3,0.03594,18.47,0.028,16.587,0.004,15.765,0.003,15.368,0.003,15.057,0.006,0.045508
5148,5.87735E+17,51:08.5,+23:27:48.6,27,0.296,0,0,0.704,0,0,0.704,0.107,0.893,1,0,0,J075108.48+232748.6,117.785338,23.463509,0.061,0.055,40,,3,,9.0101E+11,2002.9305,3,0.04508,19.692,0.086,17.843,0.008,17.044,0.007,16.652,0.007,16.37,0.02,0.035654
5149,5.87731E+17,29:56.3,+11:45:39.8,33,0.697,0,0.03,0.152,0.091,0.03,0.182,0.626,0.248,0,0,1,J212956.28+114539.7,322.484508,11.761052,0.055,0.049,100,,3,,10020010,2001.7144,3,0.09627,20.738,0.119,18.769,0.011,17.692,0.007,17.175,0.007,16.788,0.014,0.031067
5150,5.87737E+17,40:43.4,+37:00:54.0,25,0.88,0.04,0,0.08,0,0,0.12,0.864,0.136,0,1,0,J144043.37+370053.9,220.180718,37.014993,0.043,0.039,155,,3,,10020010,2003.3247,2,0.0956,18.705,0.029,16.901,0.004,16.007,0.003,15.648,0.004,15.317,0.007,0.037511
5151,5.88018E+17,44:12.6,+33:45:22.7,58,0.586,0.017,0.017,0.155,0.224,0,0.19,0.306,0.369,0,0,1,J144412.55+334522.6,221.052317,33.756301,0.045,0.044,69,,3,,1010020000,2003.3165,3,0.08615,19.256,0.037,18.263,0.008,17.8,0.008,17.503,0.012,17.354,0.03,0.051785
5152,5.88018E+17,32:55.0,+12:28:34.7,64,0.578,0.016,0.047,0.344,0.016,0,0.406,0.264,0.714,0,0,1,J113255.04+122834.7,173.22937,12.476316,0.075,0.058,2,,3,,1010020000,2003.2449,2,0.07964,18.473,0.038,17.291,0.006,16.81,0.006,16.479,0.007,16.297,0.018,0.041251
5153,5.8774E+17,29:03.2,+31:52:23.5,29,0.586,0.069,0.138,0.138,0.034,0.034,0.345,0.328,0.582,0,0,1,J132903.22+315223.4,202.26342,31.873186,0.074,0.064,171,,3,,4.0189E+11,2004.3622,3,0.02358,18.503,0.035,17.329,0.006,16.973,0.006,16.777,0.009,16.662,0.029,0.032192
5154,5.88018E+17,07:34.9,+09:34:27.4,38,0.316,0.053,0,0.421,0.211,0,0.474,0.259,0.526,0,0,1,J090734.87+093427.3,136.895301,9.574264,0.045,0.042,12,,3,,810020000,2003.2421,2,0.055,18.225,0.022,17.318,0.007,17.148,0.006,16.912,0.006,16.856,0.015,0.059705
5155,5.87736E+17,02:03.2,+10:54:52.1,51,0.882,0.02,0,0.059,0.039,0,0.078,0.815,0.143,0,0,1,J140203.20+105452.1,210.513343,10.914486,0.054,0.049,174,,3,,10021210,2003.3137,3,0.07101,19.778,0.064,17.737,0.006,16.833,0.005,16.392,0.005,16.063,0.01,0.060573
